记录ID,标题,发布时间,省份,市,公告类型,来源平台,详情页URL,主品类,主品类-原始口径,全部命中品类,学段,是否学科网相关,已L2精读
00538aefa6b0e5f64c2c95dfc8289f4e4589,怒江州民族中学教学楼和场地修缮项目的竞争性磋商公告,2026-07-24,云南省,,采购/资审公告,,https://www.ggzy.gov.cn/information/deal/html/a/530000/0201/20260724/00538aefa6b0e5f64c2c95dfc8289f4e4589.html,校舍维修改造,校舍维修改造,校舍维修改造,一贯制未分段,否,否
0032a3ac5a0ed9ab417da86ff379ee3c9e85,金陵中学溧水分校电梯采购项目采购公告(二),2026-07-24,江苏省,,采购/资审公告,,https://www.ggzy.gov.cn/information/deal/html/a/320000/0201/20260724/0032a3ac5a0ed9ab417da86ff379ee3c9e85.html,工程配套,其他,工程配套,一贯制未分段,否,否
0014652cad5d22204cd28483a269e811bc99,侯马市第一中学校2026年物业管理服务公开招标采购公告,2026-07-24,山西省,,采购/资审公告,,https://www.ggzy.gov.cn/information/deal/html/a/140000/0201/20260724/0014652cad5d22204cd28483a269e811bc99.html,后勤服务,其他,后勤服务,一贯制未分段,否,否
00456486acc866b144cc93b4320b133627bd,云之龙咨询集团有限公司关于2026年平南县马练瑶族乡初级中学学生食堂食材配送服务项目的竞争性磋商公告,2026-07-24,广西壮族自治区,,采购/资审公告,贵港市公共资源交易平台,https://www.ggzy.gov.cn/information/deal/html/a/450000/0201/20260724/00456486acc866b144cc93b4320b133627bd.html,食堂设备,食堂设备,食堂设备;后勤服务,初中,否,否
00439f8d8b8402ec46209738c25b66151fb4,长沙县第一中学圣和学校2026年扩班设施设备采购项目招标公告,2026-07-24,湖南省,,采购/资审公告,,https://www.ggzy.gov.cn/information/deal/html/a/430000/0201/20260724/00439f8d8b8402ec46209738c25b66151fb4.html,其他,其他,,一贯制未分段,否,否
0044d41a772016a948a2ada124709ccc8b94,湛江农垦实验中学食堂委托管理服务采购项目招标公告,2026-07-24,广东省,,采购/资审公告,,https://www.ggzy.gov.cn/information/deal/html/a/440000/0201/20260724/0044d41a772016a948a2ada124709ccc8b94.html,食堂设备,食堂设备,食堂设备,一贯制未分段,否,否
0045e45bbb2253114296ba4df9c2c57601f7,广西科联招标中心有限公司关于南宁市第一中学五象校区足球场翻新改造和主席台改造项目（标2重）的竞争性磋商公告,2026-07-24,广西壮族自治区,,采购/资审公告,广西壮族自治区公共资源电子交易系统,https://www.ggzy.gov.cn/information/deal/html/a/450000/0201/20260724/0045e45bbb2253114296ba4df9c2c57601f7.html,校舍维修改造,校舍维修改造,校舍维修改造;工程配套,一贯制未分段,否,否
0013ad4a60af633c42a680ed923f2ec6773e,吴桥中学新建宿舍楼项目监理竞争性磋商公告,2026-07-24,河北省,,采购/资审公告,,https://www.ggzy.gov.cn/information/deal/html/a/130000/0201/20260724/0013ad4a60af633c42a680ed923f2ec6773e.html,校舍维修改造,校舍维修改造,校舍维修改造;后勤服务,一贯制未分段,否,否
004465b77204b94048eeb53f34d546d26530,东莞市第一中学东城学校（一期校区）校园生活家具采购项目招标公告,2026-07-24,广东省,,采购/资审公告,,https://www.ggzy.gov.cn/information/deal/html/a/440000/0201/20260724/004465b77204b94048eeb53f34d546d26530.html,课桌椅,课桌椅,课桌椅,一贯制未分段,否,否
0022801bd0dc425e41fca6ee45d40291555c,吉林省易程招投标代理有限公司关于长春市第八十七中学校园文化项目的竞争性磋商公告,2026-07-24,吉林省,,采购/资审公告,长春市公共资源交易中心(新),https://www.ggzy.gov.cn/information/deal/html/a/220000/0201/20260724/0022801bd0dc425e41fca6ee45d40291555c.html,校园文化,其他,校园文化,一贯制未分段,否,否
005254fab20454a645fcb15646f5c7781b73,贵阳市第二十二中学食堂改造项目采购公告,2026-07-24,贵州省,,采购/资审公告,贵阳市公共资源交易中心,https://www.ggzy.gov.cn/information/deal/html/a/520000/0201/20260724/005254fab20454a645fcb15646f5c7781b73.html,校舍维修改造,校舍维修改造,校舍维修改造;食堂设备,一贯制未分段,否,否
0043691d0391aebd42a68c0fb181e1905f32,衡阳县弘扬中学校舍维修工程项目竞争性磋商公告,2026-07-24,湖南省,,采购/资审公告,,https://www.ggzy.gov.cn/information/deal/html/a/430000/0201/20260724/0043691d0391aebd42a68c0fb181e1905f32.html,校舍维修改造,校舍维修改造,校舍维修改造,一贯制未分段,否,否
005192cd476024f149858d6f48bb55dbf065,隆昌市第二初级中学运动场塑胶跑道及附属工程维修改造项目招标公告,2026-07-24,四川省,,采购/资审公告,,https://www.ggzy.gov.cn/information/deal/html/a/510000/0201/20260724/005192cd476024f149858d6f48bb55dbf065.html,校舍维修改造,校舍维修改造,校舍维修改造,初中,否,否
